,obj_id,frame_0,frame_-1,A,B,M,C,pred_diff,pred_err,pred_err_s,pred_err_lbs
137,409.0,2511.0,3038.0,46.61238693678037,194.61300894038834,2.8034805430731717,-22.512373947611433,46.61238693678037,147.99197308441902,140.4242168969135,91.13071136834832
138,413.0,2511.0,2634.0,98.84152758693534,47.75921781337286,2.6339999999999884,-22.567803071632152,49.1437457229324,81.21581584520561,81.90698577584189,7.876985202156077
139,417.0,2537.0,2706.0,101.22212723950176,99.89407013590899,2.691607359570713,-17.958410918238027,81.79802102743486,189.4213659772771,244.40853394817375,39.781598635696845
140,420.0,2555.0,2997.0,110.80615439316351,55.80287707768499,2.899517776336784,-16.999588316333064,110.32728922149067,354.4910527135175,372.6806157237789,38.875472079220344
141,422.0,2585.0,2870.0,128.71825686954293,45.421583902403675,2.8699999999999997,-20.378378037189727,64.35882108613822,101.80367715975738,114.49348753856736,38.08976981465051
142,423.0,2674.0,2770.0,117.39526516834918,85.17924206933755,2.7501765076759668,-8.105558280828655,98.90728375050618,146.02673611104993,262.92041853117087,13.575978668728737
143,425.0,2578.0,2994.0,168.6783831072199,46.40662731375485,2.9939999999999998,-26.39798650868801,84.33919085708649,178.88456088360257,183.1926435629062,28.829139870265603
144,426.0,2581.0,3128.0,116.63310076376054,29.750843699260805,2.9914295148202803,-25.450053906996754,114.66081991848395,223.38837892605784,237.9508329387402,22.70093368848973
145,427.0,2579.0,2823.0,153.426560476876,40.923483595892506,2.7945217422203856,-24.417931396693714,116.93714377037318,228.40960413535538,262.16456112277103,21.908819392265833
146,428.0,2578.0,2994.0,113.12756849064152,57.25314434534288,2.9200926501839626,-18.724924281943427,111.50718781401173,258.6508875592381,278.52602125915325,27.656341788021297
147,429.0,2584.0,2829.0,226.9504173253354,51.75826619176885,2.8289999999999997,-24.35005742685903,113.47450276957692,243.6375511143742,274.6339824860224,50.95125508357088
148,430.0,2610.0,2997.0,220.89981077251628,54.72185145657522,2.9969999999999994,-24.710758621563045,110.44990524598255,202.17367010481397,223.05099374752666,29.83438106895299
149,433.0,2610.0,2829.0,120.27079754661499,44.16085122601721,2.782088562066393,-21.83606216868208,106.75434561285034,360.42273758362154,394.83150979905577,21.248615319214935
150,435.0,2585.0,2942.0,148.22724251075678,39.38031127941447,2.9419999999999997,-19.760419408424887,74.11350503535358,105.30984528143534,125.41299172713006,44.22780052253772
151,438.0,2628.0,2823.0,174.7570419247697,55.79649395336282,2.8061891717554355,-18.923627801306697,125.58817309127402,221.93850070491158,288.9567065954286,34.72444646759078
152,441.0,2633.0,2986.0,264.5012950762213,37.42184051510657,2.9859999999990006,-22.872696323401918,132.2501628817682,178.12685812423564,205.31860333454122,34.542324398115646
153,442.0,2630.0,3012.0,110.3809084715731,54.28853053420008,2.9360567607440347,-17.13770243815599,108.62141564718138,333.1717660938857,345.165764077161,49.82933784184176
154,443.0,2651.0,2946.0,60.79074153993272,47.58108137102677,2.9036300747284063,-23.501515300029336,53.64548643742402,116.9249014736596,110.67617821218786,26.428788431669044
155,446.0,2651.0,2986.0,94.4283887628885,61.98214765024214,2.872824335686507,-17.863794488027587,94.3435274701208,206.2490231323924,230.0494284428931,20.126418237410913
156,447.0,2653.0,2997.0,89.71184829469576,52.12447865648217,2.8867650784036414,-21.973520143005054,89.42560802107624,175.074271468695,189.5285221940878,15.452916792283974
157,448.0,2657.0,2970.0,94.2484425022537,104.59185903370614,2.921694663079083,-10.809125128903512,93.64961676916911,85.1361626416201,126.12271763640287,48.36401555143949
158,449.0,2657.0,2946.0,127.19781119318577,68.41587368479084,2.8759747897220556,-18.22572289985521,126.15003068322487,208.1782161570992,252.49785631279886,31.071069739937236
159,450.0,2674.0,2770.0,126.70969081212677,23.530059309962045,2.7699999999999996,-17.117295269407744,51.36991373054199,85.66319093512077,118.33045530763316,26.31704114243541
160,451.0,2704.0,2850.0,16.824648250985405,82.408332081387,2.7527153813770746,-20.91546128793086,16.520784464449953,24.973541378657245,7.413045479273548,1.8632488228778121
161,452.0,2677.0,2914.0,103.02789532584777,86.00294928946704,2.813608240069601,-12.080960084139797,103.00875053588055,319.3200403857677,375.99450830742495,18.436413969280988
